name,local_name,author,category,tags,version,release_date,size_bytes,latest,integrity,duplicate,non_store,path,store
"100+ Stylized Historical Textures - Medieval, Egyptian, Roman & More",100 Stylized Historical Textures - Medieval Egyptian Roman More,Game Buffs,2D/Textures & Materials,medieval;stylized,1.1.0,,814108153,True,,,False,2D/100 Stylized Historical Textures - Medieval Egyptian Roman More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/100-stylized-historical-textures-medieval-egyptian-roman-more-241347
"100+ Stylized Resource Textures - Leather, Fur, Bones, Coins & More",100 Stylized Resource Textures - Leather Fur Bones Coins More,Game Buffs,2D/Textures & Materials,stylized,1.1.0,,1009790849,True,,,False,3D/100 Stylized Resource Textures - Leather Fur Bones Coins More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/100-stylized-resource-textures-leather-fur-bones-coins-more-241327
100+ Stylized Weapons Bundle 2 - Fantasy RPG,100 Stylized Weapons Bundle 2 - Fantasy RPG,Blink,3D/Props/Weapons,medieval;prop;stylized,1.0,2022-01-14,1897524682,True,,,False,3D/100 Stylized Weapons Bundle 2 - Fantasy RPG v1.0 (14 Jan 2022).unitypackage,https://assetstore.unity.com/packages/3d/props/weapons/100-stylized-weapons-bundle-2-fantasy-rpg-211232
100+ Stylized Weapons Bundle - Fantasy RPG,100 Stylized Weapons Bundle - Fantasy RPG,Blink,3D/Props/Weapons,medieval;prop;stylized,1.0,,2682835165,True,,,False,3D/100 Stylized Weapons Bundle - Fantasy RPG v1.0.unitypackage,https://assetstore.unity.com/packages/3d/props/weapons/100-stylized-weapons-bundle-fantasy-rpg-204803
2000 Game Sound FX,2000 Game Sound FX,GameBurp,Audio/Sound FX,sfx,1.0.0,,371923944,True,,,False,Audio/2000 Game Sound FX v1.0.0.unitypackage,https://assetstore.unity.com/packages/audio/sound-fx/2000-game-sound-fx-207739
"240+ Stylized Arctic Textures - Snow, Ice & More",240 Stylized Arctic Textures - Snow Ice More,Game Buffs,2D/Textures & Materials/Nature,stylized,1.1.0,,1952721105,True,,,False,3D/240 Stylized Arctic Textures - Snow Ice More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/nature/240-stylized-arctic-textures-snow-ice-more-241325
250 Hand Painted Textures Mega Bundle,250 Hand Painted Textures Mega Bundle,,2D,,2.5,,4880728240,True,,,False,2D/250 Hand Painted Textures Mega Bundle v2.5.unitypackage,
"250+ Stylized Mountain & Cave Textures - Cliff, Rock, Crystal, Gravel & More",250 Stylized Mountain Cave Textures - Cliff Rock Crystal Gravel More,Game Buffs,2D/Textures & Materials/Nature,stylized,1.1.0,,1865616176,True,,,False,3D/250 Stylized Mountain Cave Textures - Cliff Rock Crystal Gravel More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/nature/250-stylized-mountain-cave-textures-cliff-rock-crystal-gravel-mo-241326
27 NPC Characters Medieval Pack,27 NPC Characters Medieval Pack,,3D,character;medieval,,,6674928202,False,,,False,3D/27 NPC Characters Medieval Pack.unitypackage,
"280+ Stylized Desert & Beach Textures - Sand, Cracked Sand, Water & More",280 Stylized Desert Beach Textures - Sand Cracked Sand Water More,Game Buffs,2D/Textures & Materials/Nature,stylized,1.1.0,,2462143716,True,,,False,3D/280 Stylized Desert Beach Textures - Sand Cracked Sand Water More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/nature/280-stylized-desert-beach-textures-sand-cracked-sand-water-more-241324
2D+3D Infinite Runner Engine,2D+3D Infinite Runner Engine,More Mountains,Templates/Systems,template,1.9,,211220089,True,,,False,Templates/2D+3D Infinite Runner Engine v1.9.unitypackage,https://assetstore.unity.com/packages/templates/systems/2d-3d-infinite-runner-engine-51328
2D Ground Tiles - Rule Tiles V3,2D Ground Tiles - Rule Tiles V3,,Tools,editor-tool,1.3,,1348487,True,,,False,Tools/2D Ground Tiles - Rule Tiles V3 v1.3.unitypackage,
